# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  118       3.683344850519e-10       1.108624247711e-13      -3.608343044929e-12       3.848681513464e-16       5.258103432704e-12       1.204245073833e-12      -5.046835692818e-15 
  119       3.720624496013e-10       1.122636288248e-13      -3.680098076817e-12       3.915807649710e-16       5.138196879230e-12       1.182225556829e-12      -5.001763491532e-15 
  120       3.758054221708e-10       1.136330457692e-13      -3.751297345128e-12       3.983611371017e-16       5.021546274561e-12       1.160757609174e-12      -4.957116675376e-15 
  121       3.795630990881e-10       1.149694951224e-13      -3.821886526019e-12       4.052097165628e-16       4.908159416359e-12       1.139841746179e-12      -4.912848137328e-15 
  122       3.833351097325e-10       1.162718097666e-13      -3.891810944879e-12       4.121269602903e-16       4.798026788620e-12       1.119475217540e-12      -4.868901126657e-15 
  123       3.871210143654e-10       1.175388367562e-13      -3.961015593292e-12       4.191133333863e-16       4.691121045445e-12       1.099651909835e-12      -4.825208981934e-15 
  124       3.909203019617e-10       1.187694381245e-13      -4.029445145995e-12       4.261693091745e-16       4.587396494797e-12       1.080362249017e-12      -4.781694864024e-15 
  125       3.947323880397e-10       1.199624916925e-13      -4.097043977838e-12       4.332953692548e-16       4.486788582270e-12       1.061593102898e-12      -4.738271489093e-15 
  126       3.985566124926e-10       1.211168918753e-13      -4.163756180744e-12       4.404920035580e-16       4.389213374849e-12       1.043327683651e-12      -4.694840861607e-15 
  127       4.023922374187e-10       1.222315504905e-13      -4.229525580672e-12       4.477597104010e-16       4.294567044681e-12       1.025545450293e-12      -4.651294007333e-15 
  128       4.062384449522e-10       1.233053975656e-13      -4.294295754573e-12       4.550989965414e-16       4.202725352832e-12       1.008222011181e-12      -4.607510706339e-15 
  129       4.100943350943e-10       1.243373821454e-13      -4.358010047353e-12       4.625103772327e-16       4.113543133056e-12       9.913290265034e-13      -4.563359225997e-15 
  130       4.139589235433e-10       1.253264730997e-13      -4.420611588832e-12       4.699943762788e-16       4.026853775557e-12       9.748341107696e-13      -4.518696053982e-15 
  131       4.178311395259e-10       1.262716599310e-13      -4.482043310705e-12       4.775515260892e-16       3.942468710756e-12       9.587007353041e-13      -4.473365631275e-15 
  132       4.217098236277e-10       1.271719535820e-13      -4.542247963501e-12       4.851823677337e-16       3.860176893050e-12       9.428881307371e-13      -4.427200085162e-15 
  133       4.255938683504e-10       1.280264265052e-13      -4.601169163234e-12       4.928874479421e-16       3.779790207235e-12       9.273604251614e-13      -4.380063168960e-15 
  134       4.294826612925e-10       1.288343359799e-13      -4.658754621303e-12       5.006673096258e-16       3.701286244746e-12       9.121153646791e-13      -4.331987933295e-15 
  135       4.333756852806e-10       1.295950155185e-13      -4.714953292284e-12       5.085225004461e-16       3.624679826546e-12       8.971584812302e-13      -4.283053279554e-15 
  136       4.372723786788e-10       1.303078378436e-13      -4.769714398751e-12       5.164535758127e-16       3.549978239113e-12       8.824940962601e-13      -4.233341098454e-15 
  137       4.411721341805e-10       1.309722159605e-13      -4.822987455169e-12       5.244610989180e-16       3.477181027415e-12       8.681252853976e-13      -4.182936300704e-15 
  138       4.450742976001e-10       1.315876042285e-13      -4.874722291789e-12       5.325456407713e-16       3.406279787884e-12       8.540538431323e-13      -4.131926847658e-15 
  139       4.489781666649e-10       1.321534994335e-13      -4.924869078542e-12       5.407077802335e-16       3.337257961388e-12       8.402802474924e-13      -4.080403781968e-15 
  140       4.528829898067e-10       1.326694418596e-13      -4.973378348930e-12       5.489481040510e-16       3.270090626205e-12       8.268036247225e-13      -4.028461258248e-15 
  141       4.567879649534e-10       1.331350163610e-13      -5.020201023921e-12       5.572672068900e-16       3.204744290993e-12       8.136217139611e-13      -3.976196573720e-15 
  142       4.606922383211e-10       1.335498534344e-13      -5.065288435840e-12       5.656656913713e-16       3.141176687770e-12       8.007308319188e-13      -3.923710198879e-15 
  143       4.645949032056e-10       1.339136302904e-13      -5.108592352267e-12       5.741441681040e-16       3.079336564878e-12       7.881258375555e-13      -3.871105808142e-15 
  144       4.684949987742e-10       1.342260719256e-13      -5.150064999926e-12       5.827032557201e-16       3.019163479961e-12       7.758000967584e-13      -3.818490310509e-15 
  145       4.723915088575e-10       1.344869521948e-13      -5.189659088577e-12       5.913435809089e-16       2.960587592940e-12       7.637454470198e-13      -3.765973880216e-15 
  146       4.762833607408e-10       1.346960948829e-13      -5.227327834917e-12       6.000657784510e-16       2.903529458981e-12       7.519521621146e-13      -3.713669987390e-15 
  147       4.801694239564e-10       1.348533747766e-13      -5.263024986464e-12       6.088704912530e-16       2.847899821472e-12       7.404089167780e-13      -3.661695428709e-15 
  148       4.840485090750e-10       1.349587187365e-13      -5.296704845456e-12       6.177583703815e-16       2.793599404993e-12       7.291027513837e-13      -3.610170358055e-15 
  149       4.879193664973e-10       1.350121067692e-13      -5.328322292743e-12       6.267300750973e-16       2.740518708292e-12       7.180190366209e-13      -3.559218317169e-15 
  150       4.917807985675e-10       1.350135887151e-13      -5.357833201823e-12       6.357862291087e-16       2.688560992026e-12       7.071447631377e-13      -3.508943712078e-15 
  151       4.956320104159e-10       1.349633338341e-13      -5.385195674784e-12       6.449272845904e-16       2.637714130150e-12       6.964788357760e-13      -3.459361775265e-15 
  152       4.994722902109e-10       1.348615879819e-13      -5.410368969520e-12       6.541536452859e-16       2.587985203575e-12       6.860226919419e-13      -3.410461995126e-15 
  153       5.033008982212e-10       1.347086595608e-13      -5.433313145851e-12       6.634657089355e-16       2.539377833637e-12       6.757770467189e-13      -3.362229985901e-15 
  154       5.071170662081e-10       1.345049206745e-13      -5.453989091481e-12       6.728638670787e-16       2.491892097955e-12       6.657418751618e-13      -3.314647398830e-15 
  155       5.109199968178e-10       1.342508082827e-13      -5.472358547961e-12       6.823485048564e-16       2.445524446295e-12       6.559163945895e-13      -3.267691833323e-15 
  156       5.147088629732e-10       1.339468253556e-13      -5.488384136645e-12       6.919200008134e-16       2.400267616423e-12       6.462990468790e-13      -3.221336748118e-15 
  157       5.184828072662e-10       1.335935420293e-13      -5.502029384655e-12       7.015787267005e-16       2.356110549969e-12       6.368874807584e-13      -3.175551372447e-15 
